"i","j","fij"
"USA","AUS",53575
"URY","AUS",11795
"UZB","AUS",245
"VUT","AUS",861
"VEN","AUS",606
"VNM","AUS",136918
"YEM","AUS",221
"ZMB","AUS",2312
"ZWE","AUS",8265
"AFG","AUT",4748
"ALB","AUT",1733
"DZA","AUT",711
"AND","AUT",1
"AGO","AUT",188
"ATG","AUT",4
"ARG","AUT",839
"ARM","AUT",1681
"AUS","AUT",1371
"AZE","AUT",592
"BHS","AUT",13
"BHR","AUT",12
"BGD","AUT",1508
"BRB","AUT",12
"BLR","AUT",918
"BEL","AUT",1418
"BLZ","AUT",22
"BEN","AUT",44
"BMU","AUT",10
"BTN","AUT",14
"BOL","AUT",280
"BIH","AUT",92349
"BWA","AUT",15
"BRA","AUT",2857
"BRN","AUT",3
"BGR","AUT",8666
"BFA","AUT",67
"BDI","AUT",53
"CPV","AUT",22
"KHM","AUT",528
"CMR","AUT",360
"CAN","AUT",1402
"CAF","AUT",16
"TCD","AUT",7
"CHL","AUT",693
"CHN","AUT",9703
"HKG","AUT",154
"MAC","AUT",9
"COL","AUT",864
"COG","AUT",252
"CRI","AUT",99
"CIV","AUT",118
"HRV","AUT",43774
"CUB","AUT",485
"CYP","AUT",178
"CZE","AUT",30293
"PRK","AUT",1481
"COD","AUT",386
"DNK","AUT",782
"DJI","AUT",4
"DMA","AUT",28
"DOM","AUT",1722
"ECU","AUT",364
"EGY","AUT",8202
"SLV","AUT",38
"GNQ","AUT",6
"ERI","AUT",57
"EST","AUT",206
"SWZ","AUT",13
"ETH","AUT",703
"FJI","AUT",10
"FIN","AUT",880
"FRA","AUT",4939
"GAB","AUT",14
"GMB","AUT",346
"GEO","AUT",1827
"DEU","AUT",100832
"GHA","AUT",1363
"GRC","AUT",2205
"GRD","AUT",8
"GUM","AUT",1
"GTM","AUT",206
"GIN","AUT",166
"GNB","AUT",38
"GUY","AUT",10
"HTI","AUT",35
"HND","AUT",54
"HUN","AUT",14405
"ISL","AUT",104
"IND","AUT",7478
"IDN","AUT",669
"IRN","AUT",8535
"IRQ","AUT",3043
"IRL","AUT",544
"ISR","AUT",1412
"ITA","AUT",18566
"JAM","AUT",115
"JPN","AUT",1636
"JOR","AUT",412
"KAZ","AUT",608
"KEN","AUT",542
"KWT","AUT",140
"KGZ","AUT",357
"LAO","AUT",69
"LVA","AUT",445
"LBN","AUT",1015
"LSO","AUT",3
"LBR","AUT",150
"LBY","AUT",254
"LIE","AUT",208
"LTU","AUT",501
"LUX","AUT",420
"MDG","AUT",42
"MWI","AUT",21
"MYS","AUT",266
"MDV","AUT",5
"MLI","AUT",54
"MLT","AUT",60
"MRT","AUT",19
"MUS","AUT",63
"MEX","AUT",832
"FSM","AUT",1
"MCO","AUT",14
"MNG","AUT",993
"MNE","AUT",12031
"MAR","AUT",1061
"MOZ","AUT",37
"MMR","AUT",39
"NAM","AUT",101
"NRU","AUT",1
"NPL","AUT",323
"NLD","AUT",4668
"NZL","AUT",244
"NIC","AUT",115
"NER","AUT",17
"NGA","AUT",4673
"MKD","AUT",12075
"NOR","AUT",533
"OMN","AUT",17
"PAK","AUT",2651
"PLW","AUT",1
"PAN","AUT",34
"PNG","AUT",33
"PRY","AUT",125
"PER","AUT",930
"PHL","AUT",7633
"POL","AUT",33851
"PRT","AUT",949
"PRI","AUT",3
"QAT","AUT",15
"KOR","AUT",69
"MDA","AUT",980
"ROU","AUT",24968
"RUS","AUT",17059
"RWA","AUT",117
"KNA","AUT",1
"LCA","AUT",8
"VCT","AUT",6
"WSM","AUT",3
"SMR","AUT",1
"STP","AUT",1
"SAU","AUT",263
"SEN","AUT",184
"SRB","AUT",107506
"SYC","AUT",24
"SLE","AUT",147
"SGP","AUT",158
"SVK","AUT",14965
"SVN","AUT",12724
"SLB","AUT",8
"SOM","AUT",670
"ZAF","AUT",1538
"ESP","AUT",2271
"LKA","AUT",540
"PSE","AUT",152
"SDN","AUT",350
"SUR","AUT",11
"SWE","AUT",1956
"CHE","AUT",8704
"SYR","AUT",1828
"TJK","AUT",157
"THA","AUT",3088
"TGO","AUT",120
"TON","AUT",4
"TTO","AUT",38
"TUN","AUT",2033
"TUR","AUT",88108
"TKM","AUT",77
"TUV","AUT",7
"UGA","AUT",150
"UKR","AUT",4534
"ARE","AUT",97
"GBR","AUT",6067
"TZA","AUT",86
"USA","AUT",6088
"URY","AUT",155
"UZB","AUT",415
"VUT","AUT",4
"VEN","AUT",504
"VNM","AUT",1842
"YEM","AUT",52
"ZMB","AUT",63
"ZWE","AUT",165
"AFG","AZE",254
"ARM","AZE",202586
