"i","j","fij"
"LIE","AUS",3
"LTU","AUS",2226
"LUX","AUS",62
"MDG","AUS",64
"MWI","AUS",161
"MYS","AUS",37221
"MDV","AUS",41
"MLI","AUS",17
"MLT","AUS",26742
"MHL","AUS",14
"MTQ","AUS",7
"MRT","AUS",14
"MUS","AUS",10270
"MEX","AUS",447
"FSM","AUS",3
"MCO","AUS",14
"MNG","AUS",14
"MNE","AUS",647
"MAR","AUS",385
"MOZ","AUS",174
"MMR","AUS",5042
"NAM","AUS",140
"NRU","AUS",247
"NPL","AUS",145
"NLD","AUS",49725
"NCL","AUS",695
"NZL","AUS",144341
"NIC","AUS",376
"NER","AUS",0
"NGA","AUS",406
"NIU","AUS",119
"MKD","AUS",19652
"MNP","AUS",3
"NOR","AUS",1083
"OMN","AUS",16
"PAK","AUS",2379
"PAN","AUS",56
"PRY","AUS",129
"PER","AUS",2155
"PHL","AUS",58153
"POL","AUS",36650
"PRT","AUS",9017
"PRI","AUS",22
"QAT","AUS",42
"KOR","AUS",12061
"MDA","AUS",6
"REU","AUS",25
"ROU","AUS",5591
"RUS","AUS",5050
"RWA","AUS",17
"SHN","AUS",19
"KNA","AUS",11
"LCA","AUS",4
"VCT","AUS",10
"WSM","AUS",2882
"SAU","AUS",284
"SEN","AUS",70
"SRB","AUS",21170
"SYC","AUS",1322
"SLE","AUS",49
"SGP","AUS",14235
"SVK","AUS",1140
"SVN","AUS",3313
"SLB","AUS",559
"SOM","AUS",118
"ZAF","AUS",29661
"SSD","AUS",0
"ESP","AUS",6916
"LKA","AUS",22694
"PSE","AUS",1135
"SDN","AUS",580
"SUR","AUS",37
"SWE","AUS",2675
"CHE","AUS",4410
"SYR","AUS",2608
"TJK","AUS",22
"THA","AUS",9597
"TLS","AUS",4650
"TGO","AUS",3
"TKL","AUS",28
"TON","AUS",3086
"TTO","AUS",474
"TUN","AUS",176
"TUR","AUS",15705
"TKM","AUS",16
"TUV","AUS",36
"UGA","AUS",417
"UKR","AUS",6098
"ARE","AUS",256
"GBR","AUS",550017
"TZA","AUS",634
"USA","AUS",25323
"URY","AUS",5974
"UZB","AUS",122
"VUT","AUS",456
"VEN","AUS",328
"VNM","AUS",65835
"YEM","AUS",83
"ZMB","AUS",1137
"ZWE","AUS",4081
"AFG","AUT",1554
"ALB","AUT",870
"DZA","AUT",170
"AND","AUT",0
"AGO","AUT",85
"ATG","AUT",4
"ARG","AUT",416
"ARM","AUT",828
"AUS","AUT",686
"AZE","AUT",286
"BHS","AUT",6
"BHR","AUT",6
"BGD","AUT",501
"BRB","AUT",6
"BLR","AUT",678
"BEL","AUT",739
"BLZ","AUT",11
"BEN","AUT",14
"BMU","AUT",6
"BTN","AUT",6
"BOL","AUT",153
"BIH","AUT",46208
"BWA","AUT",8
"BRA","AUT",1849
"BRN","AUT",0
"BGR","AUT",4878
"BFA","AUT",30
"BDI","AUT",22
"CPV","AUT",13
"KHM","AUT",293
"CMR","AUT",133
"CAN","AUT",721
"CAF","AUT",6
"TCD","AUT",3
"CHL","AUT",368
"CHN","AUT",5332
"HKG","AUT",79
"MAC","AUT",6
"COL","AUT",520
"COG","AUT",112
"CRI","AUT",61
"CIV","AUT",35
"HRV","AUT",23301
"CUB","AUT",337
