"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"BLZ",,,,,,,,4,10,,,21,11,,21,,,,,,,,,,455,,,,,,,0,,,,,,480,51,,,,6,,,,,,,,104,,,,,0,1,,,4,,,,,,131,,,,,,,,,0,5,,,,,,,,,2,,,,,362,,,,,,97,0,0,,,,,0,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,,,,,,,,,,,,,,,27,,,,,,,,,,30,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,0,4,,,,,,,,,,,,,,,,,761,,17601,,,,,8,,,,,,
"BEN",,,,,,,,,,,,3,14,,,,,,,611,,,,,0,,,,,,,0,1028,,,,,77,,,,,0,,,,,,2273,,1,23213,,,,0,1,,,5,,,,,2,,,,,,,,,,0,5151,,,7999,,,107,4476,,2,,,,,,1079,,,,,,0,,,,,,4,,,70,,,,,,,,,,0,,,25,,,,,,,,,227,,,,260,,,,,,,,,,,,131,,,18,,,,5126,42406,,,,0,,,,,,,,,,1,,,,,,,161,,,,,,,,,,,1465,,,160,,,,,,,69,,9,,,,,6,68,,,,,10803,,,,,,,,,,,,11,,,,,,,,,,,,,
"BMU",,,,,,,,5,,,,171,6,,15,,,,,,,,,,0,,,,,,,0,,,,,,859,1,,,,9,,,,,,,,2,,,,,0,0,,,6,,,0,,,,,,,,,,,,0,34,,,,,,,,,0,,,,,,,,,,,,0,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,38,,,,,,,0,,,,,,,,,,,,,,,,,,31768,,4072,,,,,,,,,,,
"BTN",,,,,,,,,,,,6,6,,,,,,,59,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,1,,,,,,0,,,1,,,0,,,,,,,,,,,,0,89,,,,,,,,,3,,,,,,,,,,,,,,5597,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8740,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,25,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"BOL",,,,,,,,,71184,,,264,153,,,,,,,453,,,,,,,,,6819,,,0,,,,,,793,,,,,3822,,,,330,,,,110,,0,54,,1,3,,,28,,,169,239,,25,,,,,,,,,9,720,,,,,,753,,,5,,,,,45,,,,,,28,1,4,,,,,2,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,,,,,,,,,,,,115,,,18,,,,,,56,,,,105,,389,1978,47,12,7,57,,,,,,200,,,,,,,,,,,,,,,,,,,,,89,,985,,,,,855,572,,,,,,,,,,,,,,,,,68,,15991,,,,,1063,,,,,,
"BES",,,,,,,,2,,,25,,,,,,,,,,,,,,7,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,23,,,,,,
"BIH",,,,,,,,,,,,10918,46208,,,,,,,152,,,,,0,,,,,,,7,,,,,,12899,,,,,3,,,,,,,,,,163974,,,9,135,,,8067,,,0,,11,,,,,,,,,,0,4155,,,,,,49533,,,218,,,,,,,,,,,,154,4,,,,,64,,,2632,,,170,,,,,,,0,,,,33,152,,1151,,,,,,9,,,,,,,,,,,,,,,,,,60,,,,,,,2545,,0,,,,,,,,,2533,6,,,,,,13,446,,,,,,,,,,,,22216,,,,,14,33513,,,105,,334,,,,,20103,19934,,,,,,,,,,3030,,,,,,,599,,28278,,,,,9,,,,,,
"BWA",,,,,,,,,,,,68,8,,0,,,,,12,,,,,,,,,,,,2,,,,,,40,,,,,3,,,,,,,,,,,,,1,0,,,19,,,,,,,,,,70,,,,,0,96,,,,,,,,,2,,,,,,,,,,,,0,,,,,,7,,,1,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,504,,,43,,,,,,,,,21,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,3275,,,,,,,24,8,,,,,,,,,,,,,,,,,877,26,,,,,,,,,,,294,1264
"BRA",,,,,,,,,19386,,,1470,1849,,20,,253,,37,884,,,,,4994,,,,,,,4,,,39,,,3607,11,0,,,2293,5407,,,975,,,,183,,77,,,9,11,235,,481,,,508,553,82,203,,,,,,,2,,92,12014,2893,,,,,6856,4,,755,,,23,,61,95,,193,,,102,42,7,,,,,193,,3299,21448,,27689,63,,,,,,,4,,,,233,25,39,194,,,,,,17,,10,69,,,900,,,,,,,,,464,,,2202,,371,85,,,,,,361,,,,386,,51989,1685,69,176,13466,97,,,,,1,294,,,,2,,,,18,,,278,3,,,,,2,3,,,709,,8092,,,,967,1689,9146,,,,93,,,,,,48,,,,,,,5484,,49567,,3189,,,2193,,,,,,
"VGB",,,,,,,,34,,,,3,,,2,,,,,,,,,,,0,,,,,,7,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,,,,,,,,,,,,,,,,,11,,,,,,,0,,,,,,,,,,,9,,,,,,,21,,,1543,,,,,,,,,,
