adm0_a3_is,label,Code1,X,Y
BOL,Bolivia (Plurinational State of),1830,-10764368.4077649,4941527.5537612
SAU,Saudi Arabia,1833,-668097.525882046,-7300575.37281067
SEN,Senegal,947,-7590247.83995845,-3627154.89989192
SRB,Serbia,917,-2500844.37931314,-4476672.39110725
SYC,Seychelles,947,1000281.18007082,-10465169.4408061
SLE,Sierra Leone,947,-7978566.21677165,-4279977.37282398
BIH,Bosnia and Herzegovina,917,-2725383.60791877,-4321858.26956785
SGP,Singapore,1832,7952299.38394818,-5817464.10217308
SVK,Slovakia,917,-2338633.8873704,-3966161.82060232
VNM,Viet Nam,1832,6823309.56048731,-4530974.15277015
SVN,Slovenia,917,-2820811.65123756,-3998219.09409547
SOM,Somalia,947,-702178.07518626,-9310643.02726541
ZAF,South Africa,947,-5576749.74636875,-11950931.7649204
ZWE,Zimbabwe,947,-4168495.13106814,-11360642.6168765
BWA,Botswana,947,-5501214.51771223,-11171560.051173
ESP,Spain,917,-4466272.8983894,-3282668.7542601
SSD,South Sudan,947,-3101604.41075096,-8649096.17053693
SDN,Sudan,1833,-2836060.84678638,-7726893.26331006
ESH,Western Sahara,1833,-6485876.59010061,-3401996.46709453
SUR,Suriname,1830,-9179637.04065653,2617502.94626109
SWZ,Eswatini,947,-4109502.42374778,-12270730.6406416
SWE,Sweden,917,-1714063.3376744,-2563156.24486215
CHE,Switzerland,917,-3210626.9364164,-3591218.17888323
BRA,Brazil,1830,-10873400.181592,2449761.87053268
SYR,Syrian Arab Republic,1833,-1223814.41913755,-6001601.87523954
TJK,Tajikistan,921,2057499.12108158,-5351786.51042563
THA,Thailand,1832,6480535.04160271,-5249610.19874669
TGO,Togo,947,-6841727.69979152,-5941535.81384513
TKL,Tokelau,909,7395450.56703551,8074168.45840467
TON,Tonga,909,8763574.26397626,8694853.58306418
TTO,Trinidad and Tobago,1830,-8245766.18001233,3207387.9321566
ARE,United Arab Emirates,1833,550945.234255386,-7335663.54013324
TUN,Tunisia,1833,-4040614.55975811,-4739793.579626
TUR,Turkey,1833,-1447243.27743024,-5471486.52034691
TKM,Turkmenistan,921,932233.93430055,-5589148.53477712
TCA,Turks and Caicos Islands,1830,-6454175.23947137,3992607.96754097
TUV,Tuvalu,909,8481191.19060084,6918150.98273232
ALB,Albania,917,-2720042.94961942,-4719480.39859789
UGA,Uganda,947,-2989115.17368312,-9396755.60793662
UKR,Ukraine,917,-1451010.02579931,-4330188.54886197
MKD,North Macedonia,917,-2560216.69559693,-4749879.48412333
EGY,Egypt,1833,-2431815.12996577,-6642648.82681352
GBR,United Kingdom,917,-3199508.19855369,-2437287.24045663
JEY,Channel Islands,917,-3591081.76930392,-2789712.01297163
IMN,Isle of Man,917,-3251200.95304507,-2314300.43740658
TZA,United Republic of Tanzania,947,-2791708.5763227,-10322150.5247024
BLZ,Belize,1830,-5344045.81727352,6086575.85402141
USA,United States of America,918,-2292204.08947486,4436284.57775231
VIR,United States Virgin Islands,1830,-7298149.58688882,3372378.77527957
BFA,Burkina Faso,947,-6789775.42544378,-5346856.64209102
URY,Uruguay,1830,-13101538.1752744,3759402.94427623
UZB,Uzbekistan,921,1240348.72306482,-5226398.24952937
VEN,Venezuela (Bolivarian Republic of),1830,-8268515.77499692,4055439.99152338
WLF,Wallis and Futuna Islands,909,8623123.71841265,7732787.20541726
WSM,Samoa,909,7735269.9740497,8541429.59391338
YEM,Yemen,1833,-353389.728393455,-8227543.05811001
ZMB,Zambia,947,-4357316.83474413,-10619991.7719056
SLB,Solomon Islands,909,10341334.9594226,3681479.61742713
VGB,British Virgin Islands,1830,-7246266.68478776,3284305.7734028
BRN,Brunei Darussalam,1832,8591183.02349624,-4059928.27552567
