"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"41431";"SAU";"MLI";643;0;643;-643;-1;0;643;643;1
"41432";"SAU";"MLT";20;0;20;-20;-1;0;20;20;1
"41433";"SAU";"MMR";0;148499;148499;148499;1;0;148499;148499;1
"41434";"SAU";"MNE";0;0;0;0;0;0;0;0;0
"41435";"SAU";"MNG";0;0;0;0;0;0;0;0;0
"41436";"SAU";"MNP";0;0;0;0;0;0;0;0;0
"41437";"SAU";"MOZ";0;0;0;0;0;0;0;0;0
"41438";"SAU";"MRT";187;0;187;-187;-1;0;187;187;1
"41439";"SAU";"MSR";0;0;0;0;0;0;0;0;0
"41440";"SAU";"MTQ";0;0;0;0;0;0;0;0;0
"41441";"SAU";"MUS";0;0;0;0;0;0;0;0;0
"41442";"SAU";"MWI";0;0;0;0;0;0;0;0;0
"41443";"SAU";"MYS";0;0;0;0;0;0;0;0;0
"41444";"SAU";"MYT";0;0;0;0;0;0;0;0;0
"41445";"SAU";"NAM";0;0;0;0;0;0;0;0;0
"41446";"SAU";"NCL";0;0;0;0;0;0;0;0;0
"41447";"SAU";"NER";0;0;0;0;0;0;0;0;0
"41448";"SAU";"NGA";0;0;0;0;0;0;0;0;0
"41449";"SAU";"NIC";0;0;0;0;0;0;0;0;0
"41450";"SAU";"NIU";0;0;0;0;0;0;0;0;0
"41451";"SAU";"NLD";1032;0;1032;-1032;-1;0;1032;1032;1
"41452";"SAU";"NOR";334;0;334;-334;-1;0;334;334;1
"41453";"SAU";"NPL";0;316320;316320;316320;1;0;316320;316320;1
"41454";"SAU";"NRU";0;0;0;0;0;0;0;0;0
"41455";"SAU";"NZL";944;0;944;-944;-1;0;944;944;1
"41456";"SAU";"OMN";1270;0;1270;-1270;-1;0;1270;1270;1
"41457";"SAU";"PAK";0;844721;844721;844721;1;0;844721;844721;1
"41458";"SAU";"PAN";33;0;33;-33;-1;0;33;33;1
"41459";"SAU";"PER";18;0;18;-18;-1;0;18;18;1
"41460";"SAU";"PHL";437;285263;285700;284826;0,996940847042352;437;285263;284826;0,996940847042352
"41461";"SAU";"PLW";0;0;0;0;0;0;0;0;0
"41462";"SAU";"PNG";0;0;0;0;0;0;0;0;0
"41463";"SAU";"POL";92;0;92;-92;-1;0;92;92;1
"41464";"SAU";"PRI";0;0;0;0;0;0;0;0;0
"41465";"SAU";"PRK";0;0;0;0;0;0;0;0;0
"41466";"SAU";"PRT";0;0;0;0;0;0;0;0;0
"41467";"SAU";"PRY";0;0;0;0;0;0;0;0;0
"41468";"SAU";"PSE";10347;0;10347;-10347;-1;0;10347;10347;1
"41469";"SAU";"PYF";0;0;0;0;0;0;0;0;0
"41470";"SAU";"QAT";735;0;735;-735;-1;0;735;735;1
"41471";"SAU";"REU";0;0;0;0;0;0;0;0;0
"41472";"SAU";"ROU";15;0;15;-15;-1;0;15;15;1
"41473";"SAU";"RUS";155;0;155;-155;-1;0;155;155;1
"41474";"SAU";"RWA";0;0;0;0;0;0;0;0;0
"41475";"SAU";"SAU";0;0;0;0;0;0;0;0;0
"41476";"SAU";"SDN";0;266864;266864;266864;1;0;266864;266864;1
"41477";"SAU";"SEN";697;0;697;-697;-1;0;697;697;1
"41478";"SAU";"SGP";0;0;0;0;0;0;0;0;0
"41479";"SAU";"SHN";0;0;0;0;0;0;0;0;0
"41480";"SAU";"SLB";0;0;0;0;0;0;0;0;0
"41481";"SAU";"SLE";0;0;0;0;0;0;0;0;0
"41482";"SAU";"SLV";0;0;0;0;0;0;0;0;0
"41483";"SAU";"SMR";0;0;0;0;0;0;0;0;0
"41484";"SAU";"SOM";0;0;0;0;0;0;0;0;0
"41485";"SAU";"SPM";0;0;0;0;0;0;0;0;0
"41486";"SAU";"SRB";0;0;0;0;0;0;0;0;0
"41487";"SAU";"SSD";0;0;0;0;0;0;0;0;0
"41488";"SAU";"STP";0;0;0;0;0;0;0;0;0
