i,j,Fij,Fji,FSij,FBij,FAij,minFij,maxFij,rangeFij,FDij
ABW,TTO,0,0,0,0,0,0,0,0,0
ABW,TUN,0,0,0,0,0,0,0,0,0
ABW,TUR,0,10,10,10,1,0,10,10,1
ABW,TUV,0,0,0,0,0,0,0,0,0
ABW,TZA,0,0,0,0,0,0,0,0,0
ABW,UGA,0,0,0,0,0,0,0,0,0
ABW,UKR,0,0,0,0,0,0,0,0,0
ABW,URY,0,0,0,0,0,0,0,0,0
ABW,USA,7117,619,7736,-6498,-0.839968976215098,619,7117,6498,0.839968976215098
ABW,UZB,0,0,0,0,0,0,0,0,0
ABW,VAT,0,0,0,0,0,0,0,0,0
ABW,VCT,0,114,114,114,1,0,114,114,1
ABW,VEN,476,3438,3914,2962,0.756770567194686,476,3438,2962,0.756770567194686
ABW,VGB,0,0,0,0,0,0,0,0,0
ABW,VIR,501,0,501,-501,-1,0,501,501,1
ABW,VNM,0,0,0,0,0,0,0,0,0
ABW,VUT,0,0,0,0,0,0,0,0,0
ABW,WLF,0,0,0,0,0,0,0,0,0
ABW,WSM,0,0,0,0,0,0,0,0,0
ABW,YEM,0,0,0,0,0,0,0,0,0
ABW,ZAF,0,0,0,0,0,0,0,0,0
ABW,ZMB,0,0,0,0,0,0,0,0,0
ABW,ZWE,0,0,0,0,0,0,0,0,0
AFG,ABW,0,0,0,0,0,0,0,0,0
AFG,AFG,0,0,0,0,0,0,0,0,0
AFG,AGO,0,0,0,0,0,0,0,0,0
AFG,AIA,0,0,0,0,0,0,0,0,0
AFG,ALB,0,0,0,0,0,0,0,0,0
AFG,AND,0,0,0,0,0,0,0,0,0
AFG,ARE,8071,0,8071,-8071,-1,0,8071,8071,1
AFG,ARG,9,0,9,-9,-1,0,9,9,1
AFG,ARM,0,0,0,0,0,0,0,0,0
AFG,ASM,0,0,0,0,0,0,0,0,0
AFG,ATG,0,0,0,0,0,0,0,0,0
AFG,AUS,59798,0,59798,-59798,-1,0,59798,59798,1
AFG,AUT,20561,0,20561,-20561,-1,0,20561,20561,1
AFG,AZE,178,0,178,-178,-1,0,178,178,1
AFG,BDI,0,0,0,0,0,0,0,0,0
AFG,BEL,23386,0,23386,-23386,-1,0,23386,23386,1
AFG,BEN,0,0,0,0,0,0,0,0,0
AFG,BES,0,0,0,0,0,0,0,0,0
AFG,BFA,0,0,0,0,0,0,0,0,0
AFG,BGD,0,0,0,0,0,0,0,0,0
AFG,BGR,396,0,396,-396,-1,0,396,396,1
AFG,BHR,690,0,690,-690,-1,0,690,690,1
AFG,BHS,0,0,0,0,0,0,0,0,0
AFG,BIH,0,0,0,0,0,0,0,0,0
AFG,BLR,278,0,278,-278,-1,0,278,278,1
AFG,BLZ,0,0,0,0,0,0,0,0,0
AFG,BMU,0,0,0,0,0,0,0,0,0
AFG,BOL,1,0,1,-1,-1,0,1,1,1
AFG,BRA,77,0,77,-77,-1,0,77,77,1
AFG,BRB,0,0,0,0,0,0,0,0,0
AFG,BRN,0,0,0,0,0,0,0,0,0
AFG,BTN,0,0,0,0,0,0,0,0,0
AFG,BWA,0,0,0,0,0,0,0,0,0
AFG,CAF,0,0,0,0,0,0,0,0,0
AFG,CAN,55339,0,55339,-55339,-1,0,55339,55339,1
AFG,CHE,14952,0,14952,-14952,-1,0,14952,14952,1
AFG,CHL,60,0,60,-60,-1,0,60,60,1
AFG,CHN,0,0,0,0,0,0,0,0,0
AFG,CIV,0,0,0,0,0,0,0,0,0
AFG,CMR,0,0,0,0,0,0,0,0,0
AFG,COD,0,0,0,0,0,0,0,0,0
AFG,COG,0,0,0,0,0,0,0,0,0
AFG,COK,0,0,0,0,0,0,0,0,0
AFG,COL,122,0,122,-122,-1,0,122,122,1
AFG,COM,0,0,0,0,0,0,0,0,0
AFG,CPV,0,0,0,0,0,0,0,0,0
AFG,CRI,4,0,4,-4,-1,0,4,4,1
AFG,CUB,0,0,0,0,0,0,0,0,0
AFG,CUW,0,0,0,0,0,0,0,0,0
AFG,CYM,0,0,0,0,0,0,0,0,0
AFG,CYP,7,0,7,-7,-1,0,7,7,1
AFG,CZE,516,0,516,-516,-1,0,516,516,1
AFG,DEU,208732,0,208732,-208732,-1,0,208732,208732,1
AFG,DJI,0,0,0,0,0,0,0,0,0
AFG,DMA,0,0,0,0,0,0,0,0,0
AFG,DNK,14168,0,14168,-14168,-1,0,14168,14168,1
AFG,DOM,0,0,0,0,0,0,0,0,0
AFG,DZA,0,0,0,0,0,0,0,0,0
AFG,ECU,157,0,157,-157,-1,0,157,157,1
AFG,EGY,208,0,208,-208,-1,0,208,208,1
AFG,ERI,0,0,0,0,0,0,0,0,0
AFG,ESH,0,0,0,0,0,0,0,0,0
AFG,ESP,474,0,474,-474,-1,0,474,474,1
AFG,EST,42,0,42,-42,-1,0,42,42,1
AFG,ETH,0,0,0,0,0,0,0,0,0
AFG,FIN,7706,0,7706,-7706,-1,0,7706,7706,1
AFG,FJI,0,0,0,0,0,0,0,0,0
AFG,FLK,0,0,0,0,0,0,0,0,0
AFG,FRA,6887,0,6887,-6887,-1,0,6887,6887,1
AFG,FRO,0,0,0,0,0,0,0,0,0
AFG,FSM,0,0,0,0,0,0,0,0,0
AFG,GAB,0,0,0,0,0,0,0,0,0
AFG,GBR,55227,0,55227,-55227,-1,0,55227,55227,1
AFG,GEO,41,0,41,-41,-1,0,41,41,1
AFG,GHA,0,0,0,0,0,0,0,0,0
AFG,GIB,0,0,0,0,0,0,0,0,0
AFG,GIN,2,0,2,-2,-1,0,2,2,1
AFG,GLP,0,0,0,0,0,0,0,0,0
AFG,GMB,0,0,0,0,0,0,0,0,0
AFG,GNB,0,0,0,0,0,0,0,0,0
AFG,GNQ,0,0,0,0,0,0,0,0,0
AFG,GRC,11673,0,11673,-11673,-1,0,11673,11673,1
AFG,GRD,0,0,0,0,0,0,0,0,0
AFG,GRL,0,0,0,0,0,0,0,0,0
AFG,GTM,0,0,0,0,0,0,0,0,0
AFG,GUF,0,0,0,0,0,0,0,0,0
AFG,GUM,0,0,0,0,0,0,0,0,0
AFG,GUY,0,0,0,0,0,0,0,0,0
AFG,HKG,0,0,0,0,0,0,0,0,0
AFG,HND,0,0,0,0,0,0,0,0,0
AFG,HRV,0,0,0,0,0,0,0,0,0
AFG,HTI,0,0,0,0,0,0,0,0,0
AFG,HUN,1452,0,1452,-1452,-1,0,1452,1452,1
AFG,IDN,0,0,0,0,0,0,0,0,0
AFG,IMN,0,0,0,0,0,0,0,0,0
AFG,IND,13501,0,13501,-13501,-1,0,13501,13501,1
AFG,IRL,162,0,162,-162,-1,0,162,162,1
AFG,IRN,2310292,0,2310292,-2310292,-1,0,2310292,2310292,1
AFG,IRQ,319,0,319,-319,-1,0,319,319,1
AFG,ISL,34,0,34,-34,-1,0,34,34,1
AFG,ISR,2469,0,2469,-2469,-1,0,2469,2469,1
AFG,ITA,11896,0,11896,-11896,-1,0,11896,11896,1
AFG,JAM,0,0,0,0,0,0,0,0,0
AFG,JEY,0,0,0,0,0,0,0,0,0
AFG,JOR,64,0,64,-64,-1,0,64,64,1
AFG,JPN,0,0,0,0,0,0,0,0,0
AFG,KAZ,0,0,0,0,0,0,0,0,0
AFG,KEN,0,0,0,0,0,0,0,0,0
AFG,KGZ,0,0,0,0,0,0,0,0,0
AFG,KHM,0,0,0,0,0,0,0,0,0
AFG,KIR,0,0,0,0,0,0,0,0,0
AFG,KNA,0,0,0,0,0,0,0,0,0
AFG,KOR,0,0,0,0,0,0,0,0,0
AFG,KWT,2826,0,2826,-2826,-1,0,2826,2826,1
AFG,LAO,0,0,0,0,0,0,0,0,0
AFG,LBN,0,0,0,0,0,0,0,0,0
AFG,LBR,0,0,0,0,0,0,0,0,0
AFG,LBY,339,0,339,-339,-1,0,339,339,1
AFG,LCA,0,0,0,0,0,0,0,0,0
AFG,LIE,0,0,0,0,0,0,0,0,0
AFG,LKA,132,0,132,-132,-1,0,132,132,1
AFG,LSO,0,0,0,0,0,0,0,0,0
AFG,LTU,7,0,7,-7,-1,0,7,7,1
AFG,LUX,0,0,0,0,0,0,0,0,0
AFG,LVA,25,0,25,-25,-1,0,25,25,1
AFG,MAC,0,0,0,0,0,0,0,0,0
AFG,MAR,0,0,0,0,0,0,0,0,0
AFG,MCO,0,0,0,0,0,0,0,0,0
AFG,MDA,0,0,0,0,0,0,0,0,0
AFG,MDG,0,0,0,0,0,0,0,0,0
AFG,MDV,0,0,0,0,0,0,0,0,0
AFG,MEX,0,0,0,0,0,0,0,0,0
AFG,MHL,0,0,0,0,0,0,0,0,0
AFG,MKD,0,0,0,0,0,0,0,0,0
AFG,MLI,534,0,534,-534,-1,0,534,534,1
AFG,MLT,0,0,0,0,0,0,0,0,0
AFG,MMR,0,0,0,0,0,0,0,0,0
AFG,MNE,0,0,0,0,0,0,0,0,0
AFG,MNG,0,0,0,0,0,0,0,0,0
AFG,MNP,0,0,0,0,0,0,0,0,0
AFG,MOZ,0,0,0,0,0,0,0,0,0
AFG,MRT,0,0,0,0,0,0,0,0,0
AFG,MSR,0,0,0,0,0,0,0,0,0
AFG,MTQ,0,0,0,0,0,0,0,0,0
AFG,MUS,0,0,0,0,0,0,0,0,0
AFG,MWI,0,0,0,0,0,0,0,0,0
AFG,MYS,569,0,569,-569,-1,0,569,569,1
AFG,MYT,0,0,0,0,0,0,0,0,0
AFG,NAM,44,0,44,-44,-1,0,44,44,1
AFG,NCL,0,0,0,0,0,0,0,0,0
AFG,NER,0,0,0,0,0,0,0,0,0
AFG,NGA,0,0,0,0,0,0,0,0,0
AFG,NIC,63,0,63,-63,-1,0,63,63,1
AFG,NIU,0,0,0,0,0,0,0,0,0
AFG,NLD,37216,0,37216,-37216,-1,0,37216,37216,1
AFG,NOR,17347,0,17347,-17347,-1,0,17347,17347,1
AFG,NPL,0,0,0,0,0,0,0,0,0
AFG,NRU,0,0,0,0,0,0,0,0,0
AFG,NZL,2610,0,2610,-2610,-1,0,2610,2610,1
AFG,OMN,0,0,0,0,0,0,0,0,0
AFG,PAK,1589146,106528,1695674,-1482618,-0.874353207043335,106528,1589146,1482618,0.874353207043335
AFG,PAN,0,0,0,0,0,0,0,0,0
AFG,PER,0,0,0,0,0,0,0,0,0
AFG,PHL,1258,0,1258,-1258,-1,0,1258,1258,1
AFG,PLW,0,0,0,0,0,0,0,0,0
AFG,PNG,0,0,0,0,0,0,0,0,0
AFG,POL,149,0,149,-149,-1,0,149,149,1
AFG,PRI,0,0,0,0,0,0,0,0,0
AFG,PRK,0,0,0,0,0,0,0,0,0
AFG,PRT,0,0,0,0,0,0,0,0,0
AFG,PRY,0,0,0,0,0,0,0,0,0
AFG,PSE,0,0,0,0,0,0,0,0,0
AFG,PYF,0,0,0,0,0,0,0,0,0
