"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"BEN",,,,,,,,,,,,15,17,,,,,,,450,,,,,0,,,,,,,6,1510,,,,,208,,,,,0,,,,,,3922,,1,27198,,,,0,1,,,10,,,,,1,,,,,,,,,,0,5663,,,13296,,,279,4925,,3,,,,,,775,,,,,,3,0,,,,,24,,,537,,,,,,,,,,0,,,26,,,,,,,,,216,,,,232,,,,,,,,,,,,116,,,39,,,,10765,63894,,,,3,,,,,,,,,,4,,,,,,,155,,,,,,,,,,,1459,,,160,,,,0,,,26,,33,,,,,9,130,,,,,17071,,,,,,,,,,,,109,,,,,,,,,,,,,
"BMU",,,,,,,,4,,,,210,7,,9,,,,,,,,,,1,,,,,,,0,,,,,,989,8,,,,2,,,,,,,,4,,,,,0,0,,,0,,,0,,,,,,,,,,,,0,37,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,10,,,,,,,0,,,,,,,,,,,,,,,,,,1474,,4311,,,,,,,,,,,
"BTN",,,,,,,,,,,,35,7,,,,,,,56,,,,,,,,,,,,6,,,,,,18,,,,,0,,,,,,,,1,,,,,,0,,,1,,,0,,,,,,,,,,,,0,98,,,,,,,,,0,,,,,,,,,,,,,,3887,,,,3,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54567,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,15,,,,2,24,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
"BOL",,,,,,,,,110351,,,361,186,,,,,,,437,,,,,,,,,9169,,,4,,,,,,1241,,,,,5719,,,,320,,,,104,,0,31,,2,7,,,77,,,215,296,,18,,,,,,,,,21,791,,,,,,922,,,13,,,,,49,,,,,,29,11,8,,,,,12,,,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,,,,,,,,,,,,239,,,18,,,,,,118,,,,91,,550,2332,258,9,25,64,,,,,,128,,,,,,,,,,,,,,,,,,,,,56,,2272,,,,,1104,1180,,,,,,,,,,,,,,,,,628,,27417,,,,,877,,,,,,
"BES",,,,,,,,5,,,100,,,,,,,,,,,,,,16,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,23,,,,,,
"BIH",,,,,,,,,,,,13975,56345,,,,,,,146,,,,,0,,,,,,,19,,,,,,13429,,,,,5,,,,,,,,,,224706,,,17,259,,,9242,,,0,,23,,,,,,,,,,94,4568,,,,,,76190,,,224,,,,,,,,,,,,113,8,,,,,389,,,13227,,,40,,,,,,,0,,,,91,231,,1059,,,,,,27,,,,,,,,,,,,,,,,,,222,,,,,,,4439,,5878,,,,,,,,,1911,23,,,,,,63,194,,,,,,,,,,,,202360,,,,,83,34589,,,40,,705,,,,,25946,18063,,,,,,,,,,1398,,,,,,,3510,,50826,,,,,9,,,,,,
"BWA",,,,,,,,,,,,315,10,,0,,,,,12,,,,,,,,,,,,5,,,,,,97,,,,,3,,,,,,,,,,,,,2,0,,,34,,,,,,,,,,48,,,,,2,106,,,,,,,,,3,,,,,,,,,,,,2,,,,,,42,,,5,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,90,,,,,,,,,37,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,0,,,6314,,,,,,,32,20,,,,,,,,,,,,,,,,,951,37,,,,,,,,,,,69,1724
"BRA",,,,,,,,,18940,,,2599,2255,,26,,4701,,70,1966,,,,,7154,,,,,,,24,,,63,,,6898,39,0,,,3643,24937,,,1071,,,,208,,76,,,17,21,927,,1017,,,648,592,59,113,,,,,,,3,,138,13208,3964,,,,,17846,4,,1392,,,23,,82,67,,425,,,107,162,18,,,,,1544,,4132,23121,,136880,67,,,,,,,9,,,,91,45,35,178,,,,,,25,,40,61,,,1957,,,,,,,,,408,,,4640,,328,62,,,,,,774,,,,489,,39542,1985,2085,133,25260,108,,,,,1,290,,,,3,,,,22,,,277,44,,,,,43,13,,,634,,16867,,,,1469,2180,15621,,,,105,,,,,,196,,,,,,,8797,,132445,,6823,,,2440,,,,,,
"VGB",,,,,,,,41,,,,0,,,6,,,,,,,,,,,970,,,,,,15,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,,,,,,,,,,,,,,,,,,,,7,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,38,,,,,,,195,,,1579,,,,,,,,,,
"BRN",,,,,,,,,0,,,1031,0,,,,,,,,,,,,,,,,,,,0,,,,,,2245,,,,,,,,,,,,,,,,,,2,,,,2,,,,,32,,,,,,,,,,0,24,,,,,,,,,,,,,,,,,,,,,,0,11078,,,,9,,,5,,,28,,,,,,,,,,,,,,,,,1439,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,7,,,,,,,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,14,,,,,0,17,,13,,,,,,,,,,,,,,,1413,,,,,,,,,,,,,
