"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"BLZ",,,,,,,,11,12,,,50,28,,13,,,,,,,,,,922,,,,,,,1,,,,,,1382,359,,,,2,,,,,,,,106,,,,,0,1,,,5,,,,,,218,,,,,,,,,2,7,,,,,,,,,2,,,,,579,,,,,,271,1,1,,,,,3,,,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597,,,,,,,,,,,,,,,34,,,,,,,,,,86,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,66,,,,,5,47,,,,,,,,,,,,,,,,,1191,,41170,,,,,17,,,,,,
"BEN",,,,,,,,,,,,30,55,,,,,,,972,,,,,0,,,,,,,15,3071,,,,,401,,,,,1,,,,,,7549,,1,59538,,,,4,13,,,33,,,,,27,,,,,,,,,,1,12218,,,26999,,,1108,9987,,9,,,,,,1897,,,,,,18,0,,,,,39,,,1205,,,,,,,,,,0,,,61,,,,,,,,,520,,,,541,,,,,,,,,,,,206,,,106,,,,17081,143212,,,,7,,,,,,,,,,25,,,,,,,320,,,,,,,,,,,2820,,,248,,,,0,,,82,,91,,,,,22,380,,,,,36908,,,,,,,,,,,,226,,,,,,,,,,,,,
"BMU",,,,,,,,11,,,,410,13,,13,,,,,,,,,,1,,,,,,,0,,,,,,1912,34,,,,5,,,,,,,,8,,,,,0,1,,,0,,,11,,,,,,,,,,,,0,57,,,,,,,,,6,,,,,,,,,,,,1,2,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,26,,,,,,,0,,,,,,,,,,,,,,,,,,2892,,8591,,,,,,,,,,,
"BTN",,,,,,,,,,,,70,18,,,,,,,153,,,,,,,,,,,,13,,,,,,35,,,,,4,,,,,,,,3,,,,,,0,,,9,,,11,,,,,,,,,,,,0,255,,,,,,,,,3,,,,,,,,,,,,,,8131,,,,8,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111196,19,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,56,,,,10,56,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,
"BOL",,,,,,,,,226137,,,700,352,,,,,,,752,,,,,,,,,20437,,,10,,,,,,2397,,,,,10568,,,,671,,,,282,,0,66,,5,24,,,149,,,443,634,,44,,,,,,,,,44,1370,,,,,,1671,,,18,,,,,86,,,,,,110,40,11,,,,,22,,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,431,,,46,,,,,,263,,,,189,,1140,4174,531,26,51,122,,,,,,331,,,,,,,,,,,,,,,,,,,,,69,,4190,,,,,2349,2238,,,,,,,,,,,,,,,,,1103,,54630,,,,,1838,,,,,,
"BES",,,,,,,,9,,,212,,,,,,,,,,,,,,33,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,43,,,,,,
"BIH",,,,,,,,,,,,28650,116023,,,,,,,295,,,,,0,,,,,,,54,,,,,,25945,,,,,11,,,,,,,,,,430399,,,31,711,,,18844,,,7,,46,,,,,,,,,,200,8898,,,,,,151087,,,363,,,,,,,,,,,,264,18,,,,,748,,,26839,,,74,,,,,,,3,,,,243,419,,2130,,,,,,77,,,,,,,,,,,,,,,,,,458,,,,,,,7614,,11573,,,,,,,,,3383,44,,,,,,122,648,,,,,,,,,,,,380524,,,,,257,77361,,,79,,1466,,,,,51526,38666,,,,,,,,,,2839,,,,,,,6470,,101273,,,,,20,,,,,,
"BWA",,,,,,,,,,,,670,18,,0,,,,,21,,,,,,,,,,,,15,,,,,,188,,,,,5,,,,,,,,,,,,,4,1,,,61,,,,,,,,,,83,,,,,3,194,,,,,,,,,3,,,,,,,,,,,,4,,,,,,93,,,10,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,865,,,177,,,,,,,,,82,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,0,,,17593,,,,,,,49,44,,,,,,,,,,,,,,,,,1975,116,,,,,,,,,,,111,4012
"BRA",,,,,,,,,32925,,,4750,3589,,47,,10221,,97,2958,,,,,14801,,,,,,,42,,,130,,,13327,73,0,,,6886,53504,,,1889,,,,415,,103,,,27,56,1801,,1542,,,1160,1101,96,198,,,,,,,6,,243,21756,7840,,,,,23338,8,,2094,,,42,,151,199,,1074,,,176,346,28,,,,,3040,,7274,28883,,254413,129,,,,,,,17,,,,188,65,65,262,,,,,,40,,67,157,,,3391,,,,,,,,,702,,,7770,,638,107,,,,,,1260,,,,802,,83208,3545,4146,219,49599,207,,,,,4,590,,,,9,,,,23,,,506,72,,,,,66,20,,,1233,,28179,,,,3204,3496,24450,,,,181,,,,,,320,,,,,,,14710,,217822,,11507,,,4828,,,,,,
"VGB",,,,,,,,80,,,,0,,,12,,,,,,,,,,,1748,,,,,,46,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,49,15,,,,,,,,,,,,,,,,,,,,,,8,,13,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,4,,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,,,,,70,,,,,,,334,,,2727,,,,,,,,,,
