"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"BLZ",,,,,,,,6,1,,,30,16,,9,,,7,,,,,,,430,,,,0,,,0,,,,,,766,178,,,,3,,,,,,,,41,,,,,0,0,,,3,,,,,,128,,,,,,,,,1,11,,,,,,,,,1,,,,,336,,,,,,138,1,1,,,,,0,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,,11,,,,,,,,,,45,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,16,,,,,5,26,,,,,,,,,,,,,,,,,369,,18893,,,,,9,,,,,,
"BEN",,,,,,,,,,,,15,42,,,,,,,403,,,,,0,,,,9,,,13,1808,,,,1348,640,,,,,1,,,,,,3814,,0,33856,,,,6,24,,,30,,,,,31,,,,,,,,,,3,9664,,,15088,,,1045,7534,,6,,,,,,911,,,,,,18,0,,,,,16,,,1108,,,,,,,,,,0,,,24,,,,,,,,,1210,,,,320,,,,,,,,,,,,70,,,194,,,,6418,165669,,,,4,,,,,,,,,,27,,,,,,,119,,,,,,,,,,,1519,,,2,,,,0,,,70,,236,,,,,19,273,,,,,26802,,,,,,,,,,,,210,,,,,,,,,,,,,
"BMU",,,,,,,,7,,,,226,7,,9,,,10,,,,,,,0,,,,,,,0,,,,,,1135,24,,,,5,,,,,,,,2,,,,,0,1,,,0,,,12,,,,,,,,,,,,0,27,,,,,,,,,4,,,,,,,,,,,,0,1,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,21,,,,,,,2,,,,,,,,,,,,,,,,,,1641,,4221,,,,,,,,,,,
"BTN",,,,,,,,,,,,79,12,,,,,,,161,,,,,,,,,,,,12,,,,,,552,,,,,6,,,,,,,,1,,,,,,1,,,76,,,10,,,,,,,,,,,,1,35,,,,,,,,,3,,,,,,,,,,,,,,3913,,,,5,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55032,34,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,63,,,,12,32,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,
"BOL",,,,,,,,,147845,,,363,181,,,,,,,406,,,,,,,,,16067,,,9,,,,,,1683,,,,,8357,,,,354,,,,116,,9,24,,4,36,,,144,,,163,406,,27,,,,,,,,,43,907,,,,,,1418,,,8,,,,,45,,,,,,79,36,4,,,,,10,,,3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,,,,,,,,,,,,243,,,34,,,,,,182,,,,139,,563,2183,224,27,34,46,,,,,,132,,,,,,,,,,,,,,,,,,,,,14,,41201,,,,,1407,1124,,,,,,,,,,,,,,,,,1022,,33393,,,,,976,,,,,,
"BES",,,,,,,,4,,,131,,,,,,,,,,,,,,9,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,22,,,,,,
"BIH",,,,,,,,,,,,19456,63386,,,,,,,111,,,,,4,,,,16,,,52,,,,,,14821,,,,,9,,,,,,,,,,198019,,,20,1123,,,9528,,,6,,29,,,,,,,,,,215,5678,,,,,,78386,,,142,,,,,,,,,,,,189,43,,,,,382,,,7998,,,56,,,,,,,4,,,,186,156,,984,,,,,,78,,,,,,,,,,,,,,,,,,337,,,,,,,3266,,6252,,,,,,,,,1425,16,,,,,,44,453,,,,,,,,,,,,157221,,,,,197,45418,,,45,,981,,,,,27068,22113,,,,,,,,,,1109,,,,,,,2984,,54701,,,,,11,,,,,,
"BWA",,,,,,,,,,,,546,8,,4,,,,,9,,,,,,,,,,,,13,,,,,,175,,,,,3,,,,,,,,,,,,,3,24,,,28,,,,,,,,,,30,,,,,5,22,,,,,,,,,2,,,,,,,,,,,,3,,,,,,53,,,13,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,100,,,,,,,,,52,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,0,,,14477,,,,,,,22,29,,,,,,,,,,,,,,,,,1198,91,,,,,,,,,,,121,2358
"BRA",,,,,,,,,15911,,,3527,1431,,38,,6570,,25,1755,,,,,9584,,,,,,,29,,,99,,,9118,31,0,,,4056,34411,,,818,,,,134,,47,,,14,107,1068,,777,,,409,615,48,97,,,,,,,14,,272,18887,6038,,,,,12138,6,,712,,,24,,95,101,,880,,,69,230,18,,,,,4233,,3439,21344,,99050,101,,,,,,,18,,,,126,30,33,82,,,,,,19,,27,99,,,1616,,,,,,,,,231,,,3782,,819,48,,,,,,721,,,,539,,41600,1847,1694,118,41207,77,,,,,4,268,,,,6,,,,2,,,257,33,,,,,27,11,,,750,,26199,,,,2136,1634,9679,,,,76,,,,,,123,,,,,,,13474,,110797,,5261,,,2576,,,,,,
"VGB",,,,,,,,42,,,,0,,,3,,,,,,,,,,,828,,,,,,45,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,30,24,,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,5,,,,,,,,,,,,198,,,,,9,,,,,,,0,,,,,,,,,,,32,,,,,,,121,,,1100,,,,,,,,,,
