"i","j","fij"
"NLD","USA",100216
"VNM","MYS",99875
"ESP","ARG",99769
"LBN","AUS",99705
"HTI","CAN",99564
"CRI","USA",99285
"DEU","ZAF",99284
"ALB","USA",99205
"CIV","FRA",99031
"SVK","CZE",98877
"GBR","DEU",98553
"ESP","GBR",98372
"ZWE","MOZ",97699
"ZMB","ZAF",97672
"POL","SWE",96994
"CAF","TCD",96813
"UGA","RWA",96724
"AUS","USA",96426
"ROU","CAN",96183
"SOM","DJI",95518
"CHN","NZL",95185
"SAU","USA",94883
"LKA","ITA",94745
"LBN","CAN",94516
"NLD","CAN",94229
"UKR","ESP",94120
"BOL","USA",93442
"GUY","CAN",93382
"SRB","FRA",93266
"SWZ","ZAF",92608
"MAC","HKG",92383
"FRA","PRT",92335
"LBR","USA",92311
"COD","AGO",92242
"MLI","NER",92101
"IRL","AUS",92077
"SSD","COD",92018
"TCD","SDN",91890
"SYR","USA",91663
"VEN","ARG",91315
"SGP","MYS",91002
"MKD","DEU",90542
"COD","SSD",89982
"IRN","GBR",89794
"IND","DEU",89704
"CMR","FRA",89496
"LVA","RUS",89368
"LAO","BGD",89317
"IRQ","AUS",89168
"COD","BEL",89101
"CZE","SVK",88794
"SSD","KEN",88793
"RUS","ESP",87373
"IDN","AUS",87274
"GNQ","GAB",86305
"NGA","BEN",86226
"MEX","CAN",85825
"NZL","GBR",85434
"FRA","REU",85340
"ECU","ITA",85272
"DEU","BEL",85150
"EGY","BHR",85142
"HUN","USA",85053
"EGY","OMN",85040
"MYS","GBR",84638
"COD","FRA",84481
"IRQ","IRN",84136
"PAK","MYS",83884
"RUS","CAN",83802
"PRT","LUX",83666
"RUS","ITA",83260
"MLI","FRA",83195
"IRN","TUR",83183
"AZE","UKR",83121
"ROU","AUT",82949
"BGD","BHR",82518
"NLD","AUS",82100
"UGA","GBR",82054
"CZE","USA",81926
"HTI","FRA",81854
"ROU","BEL",81588
"JOR","USA",81375
"GEO","GRC",81272
"PAK","AUS",81032
"THA","AUS",80831
"DEU","POL",80820
"BOL","CHL",80813
"TUR","CHE",80613
"POL","BEL",80564
"BLR","POL",80409
"GRC","TUR",80407
"NGA","ITA",80235
"AFG","USA",80026
"MAR","USA",79646
"BGR","USA",79514
"COD","TZA",79456
"FJI","AUS",79424
"IRN","SWE",79308
"NGA","GHA",79023
"EGY","LBN",78742
"PAK","BHR",78638
"AZE","ARM",78478
"BRA","CHN",78301
"ETH","ISR",78258
"NPL","AUS",78016
"CHE","DEU",77948
"POL","AUT",77899
"UKR","CAN",77779
"MYS","USA",77647
"CHN","THA",77581
"KGZ","DEU",77373
"NER","BEN",77300
"PHL","CHN",77016
"USA","ISR",76904
"COG","FRA",76499
"IRQ","GBR",75860
"BRA","PRY",75626
"URY","ESP",75539
"CHN","IDN",75511
"RUS","TKM",74675
"COL","CAN",74595
"MAR","CAN",74184
"NLD","GBR",73549
"LBN","DEU",73546
"MKD","ITA",73343
"BWA","ZAF",73310
"ESP","VEN",73054
"IRN","AUS",73002
"IRQ","CAN",72939
"ARG","CHL",72813
"CIV","GHA",72728
"IRQ","LBY",72656
"MNE","SRB",72359
"BLR","KAZ",72245
"BEN","TGO",72092
"IDN","OMN",72012
"ARG","ITA",71880
"IND","NZL",71747
"MOZ","PRT",71421
"RWA","BDI",71294
"LTU","RUS",71061
"BGR","GRC",71043
"CHN","NLD",70830
"SYR","NLD",70713
"RWA","UGA",70635
"ESP","CHE",70467
"RUS","FRA",70463
"THA","DEU",70280
"BEN","CIV",70144
"CUW","NLD",70097
"KHM","FRA",69748
"AGO","ZAF",69659
"TTO","CAN",69264
"KAZ","BLR",69084
"YEM","KWT",68962
"DZA","CAN",68822
"EGY","CAN",68822
"HTI","CHL",68643
"BGD","SGP",68430
"ALB","MKD",68029
"USA","KOR",67819
"NER","CIV",67766
"MKD","CHE",67668
"SDN","UGA",67395
"UZB","TKM",67075
"AUS","NZL",66978
"SOM","SWE",66818
"GRC","CAN",66793
"KWT","ARE",66526
"SRB","CHE",66177
