"i","j","fij"
"URY","MMR",0
"UZB","MMR",0
"VEN","MMR",0
"WLF","MMR",0
"WSM","MMR",0
"YEM","MMR",0
"ZMB","MMR",0
"SLB","MMR",0
"VGB","MMR",0
"BRN","MMR",0
"BGR","BDI",0
"MMR","BDI",0
"BDI","BDI",0
"BLR","BDI",0
"KHM","BDI",0
"DZA","BDI",0
"CMR","BDI",0
"CAN","BDI",0
"CPV","BDI",0
"CYM","BDI",0
"CAF","BDI",0
"LKA","BDI",0
"TCD","BDI",0
"CHL","BDI",0
"CHN","BDI",0
"ASM","BDI",0
"COL","BDI",0
"COM","BDI",0
"MYT","BDI",0
"COG","BDI",0
"COD","BDI",185833
"COK","BDI",0
"CRI","BDI",0
"HRV","BDI",0
"CUB","BDI",0
"CYP","BDI",0
"AND","BDI",0
"CZE","BDI",0
"BEN","BDI",0
"DNK","BDI",0
"DMA","BDI",0
"DOM","BDI",0
"ECU","BDI",0
"SLV","BDI",0
"GNQ","BDI",0
"ETH","BDI",0
"ERI","BDI",0
"EST","BDI",0
"FRO","BDI",0
"FLK","BDI",0
"AGO","BDI",0
"FJI","BDI",0
"FIN","BDI",0
"FRA","BDI",334
"GUF","BDI",0
"PYF","BDI",0
"DJI","BDI",0
"GAB","BDI",0
"GEO","BDI",0
"GMB","BDI",0
"PSE","BDI",0
"DEU","BDI",0
"ATG","BDI",0
"GHA","BDI",0
"GIB","BDI",0
"KIR","BDI",0
"GRC","BDI",0
"GRL","BDI",0
"GRD","BDI",0
"AZE","BDI",0
"GLP","BDI",0
"GUM","BDI",0
"ARG","BDI",0
"GTM","BDI",0
"GIN","BDI",0
"GUY","BDI",0
"HTI","BDI",0
"VAT","BDI",0
"HND","BDI",0
"HKG","BDI",0
"HUN","BDI",0
"ISL","BDI",0
"IND","BDI",0
"AUS","BDI",0
"IDN","BDI",0
"IRN","BDI",0
"IRQ","BDI",0
"IRL","BDI",0
"ISR","BDI",0
"ITA","BDI",0
"CIV","BDI",0
"JAM","BDI",0
"JPN","BDI",0
"KAZ","BDI",0
"AFG","BDI",0
"AUT","BDI",0
"JOR","BDI",0
"KEN","BDI",1143
"PRK","BDI",0
"KOR","BDI",0
"KWT","BDI",0
"KGZ","BDI",0
"LAO","BDI",0
"LBN","BDI",0
"LSO","BDI",0
"LVA","BDI",0
"LBR","BDI",0
"LBY","BDI",0
"LIE","BDI",0
"BHS","BDI",0
"LTU","BDI",0
"LUX","BDI",0
"MAC","BDI",0
"MDG","BDI",0
"MWI","BDI",0
"MYS","BDI",0
"MDV","BDI",0
"MLI","BDI",0
"MLT","BDI",0
"MTQ","BDI",0
"MRT","BDI",0
"BHR","BDI",0
"MUS","BDI",0
"MEX","BDI",0
"MCO","BDI",0
"MNG","BDI",0
"MDA","BDI",0
"MNE","BDI",0
"BGD","BDI",0
"MSR","BDI",0
"MAR","BDI",0
"MOZ","BDI",0
"ARM","BDI",0
"OMN","BDI",0
"NAM","BDI",0
"BRB","BDI",0
"NRU","BDI",0
"NPL","BDI",0
"NLD","BDI",0
"CUW","BDI",0
"ABW","BDI",0
"SXM","BDI",0
"BES","BDI",0
"NCL","BDI",0
"VUT","BDI",0
"NZL","BDI",0
"NIC","BDI",0
"BEL","BDI",670
"NER","BDI",0
"NGA","BDI",0
"NIU","BDI",0
"NOR","BDI",0
"MNP","BDI",0
"FSM","BDI",0
"MHL","BDI",0
"PLW","BDI",0
"PAK","BDI",0
"PAN","BDI",0
"PNG","BDI",0
"BMU","BDI",0
"PRY","BDI",0
"PER","BDI",0
"PHL","BDI",0
"POL","BDI",0
"PRT","BDI",0
"GNB","BDI",0
"TLS","BDI",0
"PRI","BDI",0
"QAT","BDI",0
"REU","BDI",0
"BTN","BDI",0
"ROU","BDI",0
"RUS","BDI",0
"RWA","BDI",71294
"SHN","BDI",0
"KNA","BDI",0
"AIA","BDI",0
"LCA","BDI",0
"SPM","BDI",0
"VCT","BDI",0
"SMR","BDI",0
"STP","BDI",0
"BOL","BDI",0
"SAU","BDI",0
"SEN","BDI",0
"SRB","BDI",0
"SYC","BDI",0
"SLE","BDI",0
"BIH","BDI",0
"SGP","BDI",0
"SVK","BDI",0
"VNM","BDI",0
"SVN","BDI",0
"SOM","BDI",0
"ZAF","BDI",0
"ZWE","BDI",0
"BWA","BDI",0
"ESP","BDI",0
"SSD","BDI",0
"SDN","BDI",0
"ESH","BDI",0
"SUR","BDI",0
"SWZ","BDI",0
"SWE","BDI",0
"CHE","BDI",0
"BRA","BDI",0
"SYR","BDI",0
"TJK","BDI",0
"THA","BDI",0
"TGO","BDI",0
"TKL","BDI",0
"TON","BDI",0
"TTO","BDI",0
"ARE","BDI",0
"TUN","BDI",0
"TUR","BDI",0
"TKM","BDI",0
"TCA","BDI",0
"TUV","BDI",0
"ALB","BDI",0
"UGA","BDI",986
"UKR","BDI",0
"MKD","BDI",0
"EGY","BDI",0
"GBR","BDI",0
"JEY","BDI",0
"IMN","BDI",0
"TZA","BDI",31024
