"i","j","fij"
"USA","AUS",55234
"URY","AUS",11366
"UZB","AUS",383
"VUT","AUS",1005
"VEN","AUS",915
"VNM","AUS",157398
"YEM","AUS",314
"ZMB","AUS",2979
"ZWE","AUS",10498
"AFG","AUT",5357
"ALB","AUT",1955
"DZA","AUT",802
"AND","AUT",2
"AGO","AUT",212
"ATG","AUT",5
"ARG","AUT",947
"ARM","AUT",1896
"AUS","AUT",1547
"AZE","AUT",668
"BHS","AUT",15
"BHR","AUT",13
"BGD","AUT",1701
"BRB","AUT",13
"BLR","AUT",1036
"BEL","AUT",1600
"BLZ","AUT",25
"BEN","AUT",50
"BMU","AUT",12
"BTN","AUT",16
"BOL","AUT",316
"BIH","AUT",104186
"BWA","AUT",17
"BRA","AUT",3223
"BRN","AUT",4
"BGR","AUT",9777
"BFA","AUT",76
"BDI","AUT",60
"CPV","AUT",25
"KHM","AUT",596
"CMR","AUT",407
"CAN","AUT",1582
"CAF","AUT",18
"TCD","AUT",8
"CHL","AUT",782
"CHN","AUT",10934
"HKG","AUT",174
"MAC","AUT",10
"COL","AUT",975
"COG","AUT",284
"CRI","AUT",112
"CIV","AUT",133
"HRV","AUT",49385
"CUB","AUT",547
"CYP","AUT",201
"CZE","AUT",34176
"PRK","AUT",1671
"COD","AUT",436
"DNK","AUT",882
"DJI","AUT",5
"DMA","AUT",32
"DOM","AUT",1943
"ECU","AUT",411
"EGY","AUT",9253
"SLV","AUT",43
"GNQ","AUT",7
"ERI","AUT",65
"EST","AUT",232
"SWZ","AUT",15
"ETH","AUT",793
"FJI","AUT",11
"FIN","AUT",993
"FRA","AUT",5572
"GAB","AUT",16
"GMB","AUT",391
"GEO","AUT",2061
"DEU","AUT",113756
"GHA","AUT",1538
"GRC","AUT",2488
"GRD","AUT",9
"GUM","AUT",1
"GTM","AUT",232
"GIN","AUT",188
"GNB","AUT",43
"GUY","AUT",12
"HTI","AUT",39
"HND","AUT",61
"HUN","AUT",16251
"ISL","AUT",117
"IND","AUT",8436
"IDN","AUT",755
"IRN","AUT",9629
"IRQ","AUT",3433
"IRL","AUT",614
"ISR","AUT",1593
"ITA","AUT",20946
"JAM","AUT",130
"JPN","AUT",1846
"JOR","AUT",465
"KAZ","AUT",686
"KEN","AUT",611
"KWT","AUT",158
"KGZ","AUT",403
"LAO","AUT",78
"LVA","AUT",502
"LBN","AUT",1145
"LSO","AUT",3
"LBR","AUT",170
"LBY","AUT",287
"LIE","AUT",235
"LTU","AUT",565
"LUX","AUT",474
"MDG","AUT",47
"MWI","AUT",24
