"i","j","fij"
"KIR","AUS",250
"KWT","AUS",3928
"KGZ","AUS",190
"LAO","AUS",5232
"LVA","AUS",2020
"LBN","AUS",49037
"LSO","AUS",83
"LBR","AUS",1699
"LBY","AUS",1500
"LIE","AUS",12
"LTU","AUS",1392
"LUX","AUS",115
"MDG","AUS",116
"MWI","AUS",698
"MYS","AUS",68296
"MDV","AUS",284
"MLI","AUS",45
"MLT","AUS",22558
"MHL","AUS",29
"MTQ","AUS",23
"MRT","AUS",34
"MUS","AUS",14323
"MEX","AUS",2650
"FSM","AUS",23
"MCO","AUS",45
"MNG","AUS",792
"MNE","AUS",1033
"MAR","AUS",1206
"MOZ","AUS",501
"MMR","AUS",16000
"NAM","AUS",713
"NRU","AUS",340
"NPL","AUS",28134
"NLD","AUS",41362
"NCL","AUS",693
"NZL","AUS",296315
"NIC","AUS",410
"NER","AUS",18
"NGA","AUS",5073
"NIU","AUS",479
"MKD","AUS",25344
"MNP","AUS",0
"NOR","AUS",1961
"OMN","AUS",836
"PAK","AUS",37991
"PAN","AUS",134
"PRY","AUS",234
"PER","AUS",4974
"PHL","AUS",96365
"POL","AUS",23997
"PRT","AUS",9921
"PRI","AUS",96
"QAT","AUS",606
"KOR","AUS",50650
"MDA","AUS",529
"REU","AUS",99
"ROU","AUS",8292
"RUS","AUS",10028
"RWA","AUS",480
"SHN","AUS",13
"KNA","AUS",12
"LCA","AUS",9
"VCT","AUS",27
"WSM","AUS",14003
"SAU","AUS",8127
"SEN","AUS",277
"SRB","AUS",16902
"SYC","AUS",1395
"SLE","AUS",2010
"SGP","AUS",28209
"SVK","AUS",3143
"SVN","AUS",4080
"SLB","AUS",1055
"SOM","AUS",4239
"ZAF","AUS",89230
"SSD","AUS",4171
"ESP","AUS",9059
"LKA","AUS",62147
"PSE","AUS",1814
"SDN","AUS",10142
"SUR","AUS",71
"SWE","AUS",4889
"CHE","AUS",7388
"SYR","AUS",6922
"TJK","AUS",59
"THA","AUS",22105
"TLS","AUS",5019
"TGO","AUS",193
"TKL","AUS",369
"TON","AUS",6398
"TTO","AUS",981
"TUN","AUS",392
"TUR","AUS",20737
"TKM","AUS",29
"TUV","AUS",106
"UGA","AUS",1936
"UKR","AUS",7243
"ARE","AUS",4295
"GBR","AUS",619846
"TZA","AUS",2410
"USA","AUS",54014
"URY","AUS",5129
"UZB","AUS",820
"VUT","AUS",714
"VEN","AUS",2911
"VNM","AUS",108279
"YEM","AUS",404
"ZMB","AUS",3642
