"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"101";"ITA";1413801;107;1820285;191;3234086;-406484;-0,125687443067377
"102";"JAM";403341;62;10921;21;414262;392420;0,947274912977777
"103";"JEY";7182;5;32597;4;39779;-25415;-0,63890494984791
"104";"JOR";273089;66;1181203;83;1454292;-908114;-0,624437183179169
"105";"JPN";342972;101;901249;42;1244221;-558277;-0,448696011399904
"106";"KAZ";1736358;57;1368025;18;3104383;368333;0,118649341914319
"107";"KEN";171476;60;368611;13;540087;-197135;-0,365006008291257
"108";"KGZ";315930;44;125035;23;440965;190895;0,432902838093726
"109";"KHM";319690;43;55025;26;374715;264665;0,706310129031397
"110";"KIR";1940;17;1089;7;3029;851;0,280950808847805
"111";"KNA";15498;33;1614;13;17112;13884;0,811360448807854
"112";"KOR";1009060;87;271439;28;1280499;737621;0,576041839938961
"113";"KWT";74463;51;882046;32;956509;-807583;-0,844302562756859
"114";"LAO";420876;38;8658;6;429534;412218;0,959686544022126
"115";"LBN";354837;88;389110;30;743947;-34273;-0,0460691420222139
"116";"LBR";172285;41;45028;25;217313;127257;0,585593130645659
"117";"LBY";53733;57;445597;86;499330;-391864;-0,784779604670258
"118";"LCA";20540;36;3761;59;24301;16779;0,690465412945969
"119";"LIE";1310;25;9262;47;10572;-7952;-0,752175558077942
"120";"LKA";622994;71;20462;49;643456;602532;0,936399691665009
"121";"LSO";85422;25;1982;15;87404;83440;0,954647384559059
"122";"LTU";179841;52;91285;57;271126;88556;0,326623046111402
"123";"LUX";26368;43;74847;77;101215;-48479;-0,478970508323865
"124";"LVA";121956;49;154745;139;276701;-32789;-0,11849975244036
"125";"MAC";55718;13;121236;5;176954;-65518;-0,370254416402003
"126";"MAR";1368980;65;22076;18;1391056;1346904;0,96826008442507
"127";"MCO";9585;28;5329;2;14914;4256;0,28536945152206
"128";"MDA";342316;51;65233;19;407549;277083;0,679876530184101
"129";"MDG";64414;38;10786;4;75200;53628;0,71313829787234
"130";"MDV";855;23;25691;22;26546;-24836;-0,935583515407218
"131";"MEX";5877266;67;358555;90;6235821;5518711;0,88500150982525
