"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"67";"FJI";182913;41;11627;14;194540;171286;0,880466742058189
"68";"FLK";1169;5;1377;7;2546;-208;-0,0816967792615868
"69";"FRA";1957969;138;7309986;206;9267955;-5352017;-0,57747550565362
"70";"FRO";12736;11;4837;30;17573;7899;0,44949638650202
"71";"FSM";19406;13;972;12;20378;18434;0,904603003238787
"72";"GAB";37068;35;263724;34;300792;-226656;-0,75353067900742
"73";"GBR";4450254;145;7077992;205;11528246;-2627738;-0,227939098454353
"74";"GEO";813454;50;70189;46;883643;743265;0,841137201335834
"75";"GHA";762986;67;287052;43;1050038;475934;0,45325407270975
"76";"GIB";10189;17;8192;3;18381;1997;0,108644796257005
"77";"GIN";457146;51;129250;29;586396;327896;0,559171617814583
"78";"GLP";10821;16;89657;24;100478;-78836;-0,784609566273214
"79";"GMB";77899;40;180372;7;258271;-102473;-0,396765413073864
"80";"GNB";91921;38;20410;11;112331;71511;0,636609662515245
"81";"GNQ";84400;27;6996;6;91396;77404;0,846907960961092
"82";"GRC";792872;67;1321149;212;2114021;-528277;-0,249892030400833
"83";"GRD";64030;38;4771;15;68801;59259;0,861310155375649
"84";"GRL";15928;15;5884;17;21812;10044;0,460480469466349
"85";"GTM";925252;51;66302;49;991554;858950;0,866266486747066
"86";"GUF";3942;18;92413;16;96355;-88471;-0,918177572518292
"87";"GUM";2217;10;72950;11;75167;-70733;-0,941011348064975
"88";"GUY";439451;54;12378;16;451829;427073;0,945209360178297
"89";"HKG";943069;41;2748711;29;3691780;-1805642;-0,489097941914199
"90";"HND";587886;46;27153;42;615039;560733;0,911703160287396
"91";"HRV";822331;56;553434;71;1375765;268897;0,195452711764
"92";"HTI";1123759;58;15912;21;1139671;1107847;0,972076151801704
"93";"HUN";513838;65;427420;159;941258;86418;0,0918111718572379
"94";"IDN";3429170;87;270353;19;3699523;3158817;0,853844401021429
"95";"IMN";9030;6;41377;8;50407;-32347;-0,641716428273851
"96";"IND";13229275;129;5423600;36;18652875;7805675;0,418470343043633
"97";"IRL";730771;71;730542;204;1461313;229;0,000156708384856632
"98";"IRN";989560;75;2509220;7;3498780;-1519660;-0,434339969932376
"99";"IRQ";2627057;71;91594;22;2718651;2535463;0,932618052114817
"100";"ISL";33103;43;35091;161;68194;-1988;-0,0291521248203654
"101";"ISR";336473;70;1363316;57;1699789;-1026843;-0,604100273622197
"102";"ITA";2563339;110;5745042;191;8308381;-3181703;-0,382951022587915
"103";"JAM";989512;64;21153;21;1010665;968359;0,958140432289631
"104";"JEY";15698;5;74628;4;90326;-58930;-0,652414587162057
"105";"JOR";597431;67;2716659;83;3314090;-2119228;-0,639460002594981
"106";"JPN";760479;104;2064499;42;2824978;-1304020;-0,461603594789057
"107";"KAZ";3803375;58;3090475;18;6893850;712900;0,103411011263663
"108";"KEN";438479;62;895728;13;1334207;-457249;-0,342712187838919
"109";"KGZ";726917;44;227067;23;953984;499850;0,523960569569301
"110";"KHM";953169;44;78719;26;1031888;874450;0,847427240165599
"111";"KIR";3556;18;2407;7;5963;1149;0,192688244172396
"112";"KNA";35838;36;3431;13;39269;32407;0,825256563701648
"113";"KOR";2309955;88;878099;28;3188054;1431856;0,44913166464558
"114";"KWT";170724;52;1765407;32;1936131;-1594683;-0,823644164573575
"115";"LAO";1198715;38;29275;6;1227990;1169440;0,952320458635657
"116";"LBN";704562;90;818738;30;1523300;-114176;-0,0749530624302501
"117";"LBR";219256;42;92870;25;312126;126386;0,404919808026246
"118";"LBY";128104;61;683998;86;812102;-555894;-0,684512536602545
"119";"LCA";50480;37;8451;59;58931;42029;0,71319000186659
"120";"LIE";3594;27;21704;47;25298;-18110;-0,715866866946004
"121";"LKA";1410887;72;37190;49;1448077;1373697;0,948635328093741
"122";"LSO";243150;25;3840;15;246990;239310;0,968905623709462
"123";"LTU";519665;53;160374;57;680039;359291;0,528338815862031
"124";"LUX";62241;46;162895;77;225136;-100654;-0,447080875559662
"125";"LVA";279368;49;313786;139;593154;-34418;-0,0580254031836589
"126";"MAC";130805;13;287358;5;418163;-156553;-0,374382716787473
"127";"MAR";2863810;68;58819;18;2922629;2804991;0,959749253155293
"128";"MCO";26961;30;10842;2;37803;16119;0,426394730576938
"129";"MDA";827763;51;124593;19;952356;703170;0,738347844713532
"130";"MDG";160871;40;21151;4;182022;139720;0,76759952093703
"131";"MDV";2746;24;51407;22;54153;-48661;-0,898583642642144
"132";"MEX";12414825;69;966873;90;13381698;11447952;0,855493226644332
"133";"MHL";6483;11;2749;6;9232;3734;0,40446273830156
"134";"MKD";527075;49;128286;19;655361;398789;0,608502794642953
"135";"MLI";997135;56;312356;56;1309491;684779;0,52293524735947
"136";"MLT";99362;38;32323;83;131685;67039;0,509086076622242
"137";"MMR";2469533;46;66565;4;2536098;2402968;0,947505971772384
"138";"MNE";148982;32;78130;29;227112;70852;0,311969424777202
"139";"MNG";57766;36;15511;30;73277;42255;0,576647515591523
"140";"MNP";2626;8;23130;12;25756;-20504;-0,796086348811927
"141";"MOZ";798225;49;285009;16;1083234;513216;0,473781288253508
"142";"MRT";109431;42;56954;35;166385;52477;0,31539501757971
"143";"MSR";17369;16;1061;10;18430;16308;0,884861638632664
"144";"MTQ";14668;16;57901;15;72569;-43233;-0,595750251484794
"145";"MUS";148643;34;23497;22;172140;125146;0,727001278029511
"146";"MWI";255164;36;170320;12;425484;84844;0,199405853099059
"147";"MYS";1598510;72;2242623;22;3841133;-644113;-0,167688283639228
"148";"MYT";6327;3;71248;3;77575;-64921;-0,83688043828553
"149";"NAM";99630;35;101619;83;201249;-1989;-0,00988327892312508
"150";"NCL";4911;10;55415;16;60326;-50504;-0,837184630176043
"151";"NER";335884;48;116285;13;452169;219599;0,485656911464519
"152";"NGA";987165;92;887531;9;1874696;99634;0,053146750193098
"153";"NIC";610902;49;35536;53;646438;575366;0,890055968244441
"154";"NIU";5358;7;528;7;5886;4830;0,82059123343527
"155";"NLD";866675;97;1827558;180;2694233;-960883;-0,3566443585243
"156";"NOR";181698;66;516976;168;698674;-335278;-0,479877596704615
"157";"NPL";1434586;57;556029;6;1990615;878557;0,441349532682111
"158";"NRU";2146;14;686;10;2832;1460;0,515536723163842
"159";"NZL";662996;83;908399;62;1571395;-245403;-0,156168881789747
"160";"OMN";20092;35;783100;19;803192;-763008;-0,949969621211367
"161";"PAK";4992279;102;3938511;8;8930790;1053768;0,117992697174606
"162";"PAN";140609;49;156722;88;297331;-16113;-0,0541921293104318
"163";"PER";1302167;68;103444;77;1405611;1198723;0,852812762563753
"164";"PHL";4719359;102;153633;90;4872992;4565726;0,936945104773412
"165";"PLW";2621;13;5341;8;7962;-2720;-0,341622707862346
"166";"PNG";4238;28;29304;21;33542;-25066;-0,747301890167551
"167";"POL";3731041;77;635256;117;4366297;3095785;0,709018419956315
"168";"PRI";1732654;39;287931;45;2020585;1444723;0,715002338431692
"169";"PRK";96575;53;42072;20;138647;54503;0,393106233816815
"170";"PRT";1950392;81;759742;128;2710134;1190650;0,439332520089413
"171";"PRY";766008;44;156416;17;922424;609592;0,660858780777603
"172";"PSE";3343320;55;235008;14;3578328;3108312;0,868649268596954
"173";"PYF";1459;11;27588;19;29047;-26129;-0,899542121389472
