"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"113";"KOR";1175575;88;376759;28;1552334;798816;0,514590287914843
"114";"KWT";65290;52;515333;32;580623;-450043;-0,775103638677765
"115";"LAO";644991;38;11423;6;656414;633568;0,965195745368015
"116";"LBN";288072;90;392336;30;680408;-104264;-0,153237469283136
"117";"LBR";110132;42;40218;25;150350;69914;0,465008313934154
"118";"LBY";60560;61;194261;86;254821;-133701;-0,524685956024033
"119";"LCA";29025;37;4395;59;33420;24630;0,736983842010772
"120";"LIE";2023;27;11147;47;13170;-9124;-0,692786636294609
"121";"LKA";610851;72;17351;49;628202;593500;0,944759806559037
"122";"LSO";112634;25;1820;15;114454;110814;0,968196830167578
"123";"LTU";293565;53;91035;57;384600;202530;0,526599063962559
"124";"LUX";33254;46;81594;77;114848;-48340;-0,420904151574255
"125";"LVA";156162;49;189111;139;345273;-32949;-0,0954288345743803
"126";"MAC";69961;13;153440;5;223401;-83479;-0,373673349716429
"127";"MAR";1281985;68;29175;18;1311160;1252810;0,955497422130022
"128";"MCO";13860;30;5651;2;19511;8209;0,420737020142484
"129";"MDA";443724;51;74877;19;518601;368847;0,711234648602683
"130";"MDG";96244;40;9150;4;105394;87094;0,826365827276695
"131";"MDV";1439;24;11627;22;13066;-10188;-0,779733659880606
"132";"MEX";5746648;69;477546;90;6224194;5269102;0,846551698099384
"133";"MHL";3273;11;1073;6;4346;2200;0,506212609295904
"134";"MKD";267358;49;74805;19;342163;192553;0,562752255503956
"135";"MLI";432678;56;153359;56;586037;279319;0,476623489643145
"136";"MLT";49921;38;15668;83;65589;34253;0,522236960465932
"137";"MMR";1086508;46;30467;4;1116975;1056041;0,945447301864411
"138";"MNE";81104;32;46659;29;127763;34445;0,269600745129654
"139";"MNG";30087;36;3996;30;34083;26091;0,765513599155004
"140";"MNP";1287;8;13172;12;14459;-11885;-0,821979389999308
"141";"MOZ";284046;49;147274;16;431320;136772;0,317100992302699
"142";"MRT";40247;42;24565;35;64812;15682;0,241961365179288
"143";"MSR";9528;16;517;10;10045;9011;0,897063215530114
"144";"MTQ";7886;16;32291;15;40177;-24405;-0,607437090872887
"145";"MUS";80692;34;10902;22;91594;69790;0,761949472672882
"146";"MWI";104175;36;90803;12;194978;13372;0,0685820964416498
"147";"MYS";860642;72;877834;22;1738476;-17192;-0,00988912127633629
"148";"MYT";3223;3;37464;3;40687;-34241;-0,841571017769804
"149";"NAM";50767;35;46845;83;97612;3922;0,0401794861287547
"150";"NCL";2475;10;25532;16;28007;-23057;-0,823258471096512
"151";"NER";134084;48;61484;13;195568;72600;0,371226376503313
"152";"NGA";456402;92;370748;9;827150;85654;0,103553164480445
"153";"NIC";323009;49;17300;53;340309;305709;0,89832769629954
"154";"NIU";2745;7;239;7;2984;2506;0,839812332439678
"155";"NLD";432359;97;948570;180;1380929;-516211;-0,373814294579953
"156";"NOR";100561;66;253661;168;354222;-153100;-0,432214825730756
"157";"NPL";596991;57;378772;6;975763;218219;0,223639346849594
"158";"NRU";1043;14;249;10;1292;794;0,614551083591331
"159";"NZL";325050;83;468235;62;793285;-143185;-0,180496290740402
"160";"OMN";9247;35;144658;19;153905;-135411;-0,879834963126604
"161";"PAK";1752881;102;1865825;8;3618706;-112944;-0,0312111566952386
"162";"PAN";71457;49;76112;88;147569;-4655;-0,0315445655930446
"163";"PER";736388;68;48012;77;784400;688376;0,877582865884753
"164";"PHL";2556982;102;72925;90;2629907;2484057;0,94454176516508
"165";"PLW";1261;13;2230;8;3491;-969;-0,277570896591235
"166";"PNG";2140;28;11547;21;13687;-9407;-0,687294513041572
"167";"POL";1990259;77;375967;117;2366226;1614292;0,682222239126778
"168";"PRI";994549;39;152969;45;1147518;841580;0,73339154592782
"169";"PRK";46224;53;21262;20;67486;24962;0,369884124114631
"170";"PRT";950957;81;389685;128;1340642;561272;0,418659120033536
"171";"PRY";436907;44;74833;17;511740;362074;0,707535076405987
"172";"PSE";1629973;55;131037;14;1761010;1498936;0,851179720728446
"173";"PYF";672;11;11685;19;12357;-11013;-0,891235736829328
"174";"QAT";10509;39;237057;33;247566;-226548;-0,915101427498122
"175";"REU";1679;12;51971;5;53650;-50292;-0,937409133271202
"176";"ROU";1785679;71;82244;76;1867923;1703435;0,911940695628246
"177";"RUS";5752086;102;5680118;148;11432204;71968;0,00629519907097529
"178";"RWA";170875;53;204361;5;375236;-33486;-0,0892398383950367
"179";"SAU";83465;68;2412769;17;2496234;-2329304;-0,933127262908846
"180";"SDN";527465;62;290529;15;817994;236936;0,289654936344276
"181";"SEN";208570;63;99135;26;307705;109435;0,355649079475472
"182";"SGP";143860;59;1081159;15;1225019;-937299;-0,765130173491187
"183";"SHN";2495;9;93;2;2588;2402;0,928129829984544
"184";"SLB";1711;18;937;15;2648;774;0,292296072507553
"185";"SLE";63797;45;35251;39;99048;28546;0,288203699216541
"186";"SLV";667050;46;21122;48;688172;645928;0,938614183663386
"187";"SMR";1402;15;1991;9;3393;-589;-0,17359269083407
"188";"SOM";754258;61;12845;2;767103;741413;0,966510364318742
"189";"SPM";199;8;478;3;677;-279;-0,412112259970458
"190";"SRB";423014;48;461089;76;884103;-38075;-0,0430662490682647
"191";"SSD";193277;22;124123;12;317400;69154;0,217876496534342
"192";"STP";16593;21;1308;6;17901;15285;0,853862912686442
"193";"SUR";144361;41;10596;4;154957;133765;0,86323947933943
"194";"SVK";141663;52;79107;93;220770;62556;0,283353716537573
"195";"SVN";68651;47;101532;153;170183;-32881;-0,193209662539737
"196";"SWE";170285;76;664399;197;834684;-494114;-0,591977323154631
"197";"SWZ";31091;24;12955;17;44046;18136;0,411751350860464
"198";"SXM";12864;12;12532;33;25396;332;0,0130729248700583
"199";"SYC";14786;28;3482;26;18268;11304;0,618786949857675
"200";"SYR";421848;79;792758;5;1214606;-370910;-0,305374747037311
"201";"TCA";1321;11;6399;6;7720;-5078;-0,657772020725389
"202";"TCD";89953;48;224210;10;314163;-134257;-0,427348223692796
"203";"TGO";207002;43;115514;30;322516;91488;0,283669647397338
"204";"THA";492021;78;1599113;49;2091134;-1107092;-0,529421835233897
"205";"TJK";248132;45;157851;35;405983;90281;0,222376306397066
"206";"TKL";1078;6;215;4;1293;863;0,667440061871616
"207";"TKM";122697;45;105501;11;228198;17196;0,0753556122314832
"208";"TLS";16006;13;5049;15;21055;10957;0,520398955117549
"209";"TON";26443;25;610;5;27053;25833;0,954903337892286
"210";"TTO";202082;55;21517;16;223599;180565;0,807539389711045
"211";"TUN";254516;59;17034;17;271550;237482;0,874542441539311
"212";"TUR";1282117;84;678769;110;1960886;603348;0,307691523117611
"213";"TUV";1535;18;68;5;1603;1467;0,915159076731129
"214";"TZA";130956;54;151775;27;282731;-20819;-0,0736353636495467
"215";"UGA";362040;54;249894;47;611934;112146;0,183264861896871
"216";"UKR";2993524;76;2551750;30;5545274;441774;0,0796667576750941
"217";"URY";177089;56;38932;17;216021;138157;0,639553561922221
"218";"USA";1330876;162;21576782;150;22907658;-20245906;-0,883805144986886
"219";"UZB";909791;53;620879;10;1530670;288912;0,188748717881712
"220";"VCT";29535;39;2136;15;31671;27399;0,865113195036469
"221";"VEN";312313;68;671019;113;983332;-358706;-0,364786257337298
"222";"VGB";2757;21;7367;21;10124;-4610;-0,455353615171869
"223";"VIR";1633;19;29465;20;31098;-27832;-0,894977168949772
"224";"VNM";1158204;68;23921;22;1182125;1134283;0,959528814634662
"225";"VUT";3875;23;1096;9;4971;2779;0,55904244618789
"226";"WLF";3829;6;793;5;4622;3036;0,656858502812635
"227";"WSM";53361;24;2311;21;55672;51050;0,916978014082483
"228";"YEM";285523;50;115203;12;400726;170320;0,425028573139751
"229";"ZAF";376876;82;802827;150;1179703;-425951;-0,361066302281167
"230";"ZMB";109327;50;65271;29;174598;44056;0,252328205363177
"231";"ZWE";349568;52;123124;6;472692;226444;0,47905189848781
